association  Golf Outing,,,,,,,
Raffle Prizes,,,,,,,
,,,as of ,,3/11/2018,,
,,,,,,,
quantity,Item,,Cost,,Status,,Year
,,,,,,,
,2016,,,,,,
4, Golf Shirts ,,20 each,,From Tukuru,,
1, Golf Windvest ,,40,,From AE,,
4,  Individual Golf Clubs sets ,,2000,,From Matt B,,
1, Surface Tablet ,, 350.00 ,, From Tukuru to be delivered 6/9/16 ,,
1, Whitney ,,300,,From Tukuru,,
1,  Drone ,,300,,From Tukuru,,
1, Ipad ,,400,,From Gretchen,,
1, laptop ,,700,,From Dewault,,
1,"  35"" flat screen ",,500,,From AE,,
1, Noise cancelling headphones ,,400,,From AE,,
1, Blue Tooth speakers ,,373,,From Dewault,,
1, Gopro camera ,,250,,From Dewault,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,2015,,,,,,
4,  Golf Shirts ,,  200.00 ,,From Matt B,,
1,  Golf Windvest ,,  50.00 ,,From Matt B,,
4,  Individual Golf Clubs ,," 1,925.00 ",,,,
1, Think Pad ,, 300.00 ,, From Tukuru  ,,
2, tickets and a catalgue for the Whitney ,, 150.00 ,, From AE  ,,
1, go pro camera ,,  200.00 ,,From Matt B,,
1,  Ipad ,,  500.00 ,,,,
1,  laptop ,,  700.00 ,,From AE,,
1,"  35"" flat screen ",,"  1,281.00 ",,From Gretchen,,
1, Noise cancelling headphones ,,  299.00 ,,,,
,,,,,,,
4,  All inclusive American Museum of    Natural History  ,,  120.00 ,,,,
,,,,,,,
,2014,,,,,,
4,  Golf Shirts ,,  200.00 ,,,,
1,  Golf Windvest ,,  75.00 ,,From AE,,
4,  Individual Golf Clubs ,," 1,085.00 ",,From Gretchen,,
1, City Sightseeing Tour of Manhattan ,,  150.00 ,,From AE,,
1, Wine ,,  94.46 ,,From Matt B,,
1, Lap top (extra per JFT for HS kid) ,,  740.87 ,,From Matt B,,
4, Movie passes ,,  50.00 ,,,,
1, 39 inch  insignia flat screen LED ,,  329.99 ,,From Gretchen,,
1, Noise canceling head phones ,,  299.99 ,,,,
2, Ipads ,,  599.98 ,,From AE,,
1, Pro Shop gft certificate ,,  200.00 ,,From Matt B,,
2,  tickets and a catalgue for the Whitney ,,  120.00 ,,,,
4,  All inclusive American Museum of    Natural History  ,,  120.00 ,,From Tukuru,,
1, Sony Handycam Camera Recorded ,,,,From Tukuru,,
,,,,,,,
,2013,,,,,,
4,  Golf Shirts ,,  200.00 ,,From AE,,
1,  Golf Windvest ,,  75.00 ,,From Gretchen,,
4,  Individual Golf Clubs ,,"  1,085.00 ",,,,
1, Case of Walden Woods Wine ,,  400.00 ,,From AE,,
1, Flat Screen TV ,,  269.99 ,,From Matt B,,
2,  Ipad mini's (16 GB) ,,  659.98 ,,From Matt B,,
1,  Ipad Mini (32 GB) ,,  385.00 ,,From Tukuru,,
1, Noise Canceling Head Phones ,,279.99,,From Gretchen,,
2,  Yankee Tickets  ,,120,,From Kevin,,
1,   Hyland ,,0,,From Gretchen,,
2,  gift certificates for $97 each (prescription ,,194,,From Tortoise & Blonde,,
,,,,,,,
2,  tickets and a catalgue for the Whitney ,,40,,From AE,,
2,  tickets to Yankees Rays game 6/22/13 ,,120,,,,
,,,,,,,
,2012,,,,,,
4,  Golf Shirts ,,  204.00 ,, From JFT ,,
1,  Golf Windvest ,,  74.00 ,, From JFT ,,
4,  Individual Golf Clubs ,,  959.00 ,, From JFT ,,
4,  All-inclusive Museum of Natural   history passes  ,,  135.00 ,, From Jeff B ,,
,,,,,,,
1, Flat Screen TV ,,  450.00 ,, From Graham ,,
1, Kindle Fire ,,  200.00 ,, From Graham ,,
1, Ipad ,,  500.00 ,, From Liviu ,,
1, Appleton Rum (and game on 8th hole) ,,  450.00 ,, From Friend of Joe's ,,
1, Wine ,,  80.00 ,, From Friend of Joe's ,,
1, Wine related platters and cheese ,,  80.00 ,, From Friend of Joe's ,,
1, 40 Below Vodka ,,  20.00 ,, From Friends of Gretchen ,,
1, Sony Handman DCR-SX44 mini ,,  450.00 ,, From Gretchen ,,
1,   camcorder ,,  400.00 ,, From Tukuru ,,
2,  Dozen Golf Balls  ,,  30.00 ,, From Deborah ,,
,,,,,,,
,2011,,,,,,
4, Golf Shirts,, 204.00 ,,From JFT,,
1, Golf Windvest,, 74.00 ,,From Gretchen,,
4, Individual Golf Clubs,, 959.00 ,,From JFT ,,
2, Dozen golf balls ,, 30.00 ,,From Hilti,,
1,Remaining Golf Balls,, 10.00 ,,From Southbend,,
1,Chances,, 19.50 ,,From Pat ,,
